ATL_OR_DR,CAMPAIGN_TYPE,CHANNEL,COST,HOLIDAY_FLAG,LAG_3_HOLIDAY_FLAG,LEAD_3_HOLIDAY_FLAG,SEASON,CHANNEL_ATL_OR_DR,CHANNEL_CAMPAIGN_TYPE,COST_PER_FREE_TRIALS,COST_BY_FREE_TRIALS,LOG_COST,LOG_FREE_TRIALS,LOG_COST_PER_FREE_TRIALS,LOG_COST_BY_FREE_TRIALS
ATL - Above The Line,Title,paid social,6345.05,False,False,False,Spring,paid social_ATL - Above The Line,paid social_Title,0.0478026078998818,842206341.2695001,8.755587851090986,11.79611287655035,0.0466952169179571,20.551535604261584
ATL - Above The Line,Brand,paid social,35017.18,False,False,True,Fall,paid social_ATL - Above The Line,paid social_Brand,0.3022260803791059,4057237196.7842,10.463622634186656,11.660182639090104,0.2640751695567184,22.12376808576289
DR - Direct Response,Brand,display,154.29,False,False,False,Fall,display_DR - Direct Response,display_Brand,0.0022115965694666,10763899.9032,5.045294336581097,11.152888877032453,0.0022091545895604,16.1917085844692
DR - Direct Response,Title,youtube,740.63,False,False,False,Fall,youtube_DR - Direct Response,youtube_Title,0.1002074152648434,5473974.1111,6.608850466507875,8.908149554871725,0.0954987213609243,15.51551562182416
ATL - Above The Line,Brand,paid social,65556.65,False,False,False,Spring,paid social_ATL - Above The Line,paid social_Brand,7.81468033391704,549948836.7514999,11.090685187187862,9.034785072347695,2.1764185513144656,20.125335809593956
DR - Direct Response,Title,app,1447.87,False,False,False,Fall,app_DR - Direct Response,app_Title,0.0365945140706913,57285295.0814,7.278539221249629,10.585731002902154,0.0359408345259048,17.863554535864193
DR - Direct Response,Brand,paid social,295.86,False,False,False,Fall,paid social_DR - Direct Response,paid social_Brand,0.0589306201797437,1485359.2128,5.6932606471966185,8.52147998995182,0.0572595500063832,14.211167868346276
ATL - Above The Line,Title,paid social,4715.99,True,True,False,Winter,paid social_ATL - Above The Line,paid social_Title,0.0922729280907485,241030193.1486,8.458926163290494,10.841738190948556,0.0882607802434142,19.30043277053083
DR - Direct Response,Title,youtube,1346.4,False,False,False,Spring,youtube_DR - Direct Response,youtube_Title,0.4156389399107846,4361460.84,7.205932088526559,8.083436627643486,0.3475809768183748,15.288317843533632
DR - Direct Response,Title,app,702.41,False,False,True,Winter,app_DR - Direct Response,app_Title,0.0080217259598611,61505442.9145,6.555939936600754,11.380130372638677,0.007989722948511,17.934636247794135
DR - Direct Response,Title,display,439.31,False,True,False,Winter,display_DR - Direct Response,display_Title,0.022003147385176,8771166.8118,6.087479024291217,9.9018251715462,0.0217645714100152,15.986980515323744
ATL - Above The Line,Brand,youtube,2016.72,False,False,False,Spring,youtube_ATL - Above The Line,youtube_Brand,0.1549583966917129,26246783.9448,7.60972344004786,9.473903148710065,0.1440643231446794,17.083054061207495
ATL - Above The Line,Brand,display,98.26,False,False,False,Summer,display_ATL - Above The Line,display_Brand,0.0239301918360686,403466.3686,4.597742670159295,8.320474897138183,0.023648352258408,12.907850892542111
ATL - Above The Line,Title,paid social,47073.47,False,False,False,Summer,paid social_ATL - Above The Line,paid social_Title,0.4949182362191412,4477328608.3961,10.759486094832129,11.462838074766816,0.4020715138548023,22.222292412974685
ATL - Above The Line,Title,paid social,9568.98,False,False,False,Summer,paid social_ATL - Above The Line,paid social_Title,0.0909128394013592,1007177631.2712,9.166386394580655,11.564145436669737,0.0870148131016389,20.73041783261541
DR - Direct Response,Brand,ott,796.16,False,False,True,Winter,ott_DR - Direct Response,ott_Brand,0.0410855765454696,15428060.1344,6.68105541146515,9.871949928717951,0.0402639923496479,16.55169856086398
DR - Direct Response,Brand,paid social,589.33,False,False,False,Fall,paid social_DR - Direct Response,paid social_Brand,0.011005481545141,31557896.6241,6.380681702571397,10.888366780815318,0.0109453619278307,17.2673344365171
DR - Direct Response,Brand,app,10709.85,False,False,False,Summer,app_DR - Direct Response,app_Brand,0.574958206234116,199494303.723,9.279012525371918,9.832430766928676,0.454228736201147,19.111296246132312
DR - Direct Response,Brand,display,2033.66,False,False,False,Summer,display_DR - Direct Response,display_Brand,0.0552327823616641,74878954.46800001,7.618084007750841,10.51381818187314,0.0537613893774145,18.131383440623924
